nomeDoProduto,preco,marca,memoriaRam,processador,tipoDeGabinete,imagem,promocao
Dell Precision 5820 (5YYXT),"£2,026.60",Dell,32 GB,Intel Core i9,Tower,-,-
Lenovo Legion T7 34IMZ05 90Q8002RUK,"£2,401.27",Lenovo,32 GB,Intel Core i7,Tower,"https://www.pricerunner.com/product/40x40/3002497039/Lenovo-Legion-T7-34IMZ05-90Q8002RUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3002497039/Lenovo-Legion-T7-34IMZ05-90Q8002RUK.jpg?ph=true&fmt=avif 2x",-
Lenovo Legion 7i Gaming Tower NVIDIA GeForce RTX,"£2,999.00",Lenovo,-,-,Tower,"https://www.pricerunner.com/product/40x40/3011672400/Lenovo-Legion-7i-Gaming-Tower-NVIDIA-GeForce-RTX.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3011672400/Lenovo-Legion-7i-Gaming-Tower-NVIDIA-GeForce-RTX.jpg?ph=true&fmt=avif 2x",-
Dell OptiPlex 7010 Plus Micro,£758.84,Dell,-,Intel Core i5,Compact,-,4.91 %
Scan 3XS SP4060TI8GR7,"£1,079.99",Scan,-,-,-,-,-
Intel NUC 9 Extreme Kit - NUC9i5QNX,£767.90,Intel,-,Intel Core i5,Barebone,-,-
Acer Aspire C24-1300 All-In-One Desktop Pc 23.8In,£449.00,Acer,-,AMD Ryzen 5,All-in-one,-,24.32 %
"Acer Aspire C24-1300 23.8"" Tower",£429.00,Acer,8 GB,AMD Ryzen 5,All-in-one,"https://www.pricerunner.com/product/40x40/3013040807/Acer-Aspire-C24-1300-23.8-Tower.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3013040807/Acer-Aspire-C24-1300-23.8-Tower.jpg?ph=true&fmt=avif 2x",18.19 %
ASUS A3402 All In One Desktop 24In,£499.99,ASUS,-,-,Compact,"https://www.pricerunner.com/product/40x40/3012385509/ASUS-A3402-All-In-One-Desktop-24In.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3012385509/ASUS-A3402-All-In-One-Desktop-24In.jpg?ph=true&fmt=avif 2x",-
ASUS ROG Tower G22CH-1370KF065W Core i7-13700KF 32GB 2TB,"£2,470.00",ASUS,-,-,Tower,-,-
HP OMEN GT21-1020na i7-13700K Tower Core,"£2,299.00",HP,-,-,Tower,-,-
Intel NUC 11 Essential UCFF BNUC11ATKC40002,£162.30,Intel,-,Intel Celeron,Barebone,-,-
Lenovo ThinkCentre M90s Gen 3 11TX0002UK,£661.99,Lenovo,8 GB,Intel Core i5,Compact,-,-
Intel NUC 13 Pro Kit NUC13ANHi5,£465.28,Intel,-,Intel Core i5,Barebone,"https://www.pricerunner.com/product/40x40/3009943668/Intel-NUC-13-Pro-Kit-NUC13ANHi5.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3009943668/Intel-NUC-13-Pro-Kit-NUC13ANHi5.jpg?ph=true&fmt=avif 2x",-
MSI MAG Infinite S3 11TG -068UK,"£1,226.56",MSI,16 GB,Intel Core i5,Tower,"https://www.pricerunner.com/product/40x40/3006771651/MSI-MAG-Infinite-S3-11TG-068UK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006771651/MSI-MAG-Infinite-S3-11TG-068UK.jpg?ph=true&fmt=avif 2x",-
Acer Nitro 50 N50-640 (DG.E2VEK.005),£969.89,Acer,8 GB,Intel Core i5,Tower,-,0.21 %
HP Omen 45L GT22-0020na,"£1,999.99",HP,16 GB,Intel Core i7,Tower,-,-
MSI Cubi N JSL Celeron-N4500 Barebone Mini-PC,£122.82,MSI,-,-,Compact,-,-
Lenovo ThinkCentre neo 30a Intel® Core,£599.99,Lenovo,-,Intel Core i5,All-in-one,-,-
Dell OptiPlex 7010 Core i5 Pro 64-bit,£510.55,Dell,16 GB,Intel Core i5,Compact,-,-
Apple Mac Studio M2 Ultra 24C 60C GPU 64GB 1TB SSD,"£3,499.16",Apple,-,Apple M2,Compact,-,-
HP 15L TG02-1013na i5-13400F Tower,£849.99,HP,-,-,Tower,-,5.45 %
"Dell OptiPlex 7410 23.8""",£829.33,Dell,8 GB,Intel Core i5,All-in-one,-,1.09 %
ASUS Vivo AIO V241EAK-BA142T,£406.51,ASUS,8 GB,Intel Core i3,All-in-one,-,-
ASUS Mini PC PN52-BBR959XD,£759.73,ASUS,-,AMD Ryzen 9,Barebone,-,-
Lenovo V35s-07ADA 11HF004QUK,£389.99,Lenovo,8 GB,AMD Ryzen 5,Tower,"https://www.pricerunner.com/product/40x40/3001932326/Lenovo-V35s-07ADA-11HF004QUK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3001932326/Lenovo-V35s-07ADA-11HF004QUK.jpg?ph=true&fmt=avif 2x",-
Lenovo Legion T5 26IRB8 90UU0062UK,"£1,900.00",Lenovo,16 GB,Intel Core i7,Tower,"https://www.pricerunner.com/product/40x40/3042774932/Lenovo-Legion-T5-26IRB8-90UU0062UK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3042774932/Lenovo-Legion-T5-26IRB8-90UU0062UK.jpg?ph=true&fmt=avif 2x",-
Dell OptiPlex 7010 i5-13500 SFF,£498.99,Dell,8 GB,Intel Core i5,Compact,-,.00 %
Lenovo ThinkCentre neo 50t 11SE002UUK,£525.00,Lenovo,8 GB,Intel Core i5,Tower,-,-
Lenovo ThinkCentre M90s Gen 3 11TX0005UK,£780.00,Lenovo,16 GB,Intel Core i7,Compact,-,-
HP Pro 400 G9 6B2D1EA,£399.99,HP,8 GB,Intel Core i3,Compact,-,-
HP Omen 40L GT21-0010na,£782.99,HP,16 GB,AMD Ryzen 5,Tower,-,10.00 %
-,"£1,199.00",-,-,AMD Ryzen 5,Tower,-,-
Asrock DeskMeet X300 90BXG4501-A10GA0W,£194.62,Asrock,-,-,Barebone,-,-
Intel NUC 12 Enthusiast Kit RNUC12SNKI72002,"£1,331.82",Intel,-,Intel Core i7,Barebone,-,-
ASUS PN64 Core i5 12500H Ultra-Compact Mini,£412.55,ASUS,-,-,Compact,-,7.05 %
ASUS ROG Strix G13CH i5 16GB 1TB RTX3060Ti,£889.99,ASUS,-,-,Tower,-,1.00 %
Dell Precision 3260 Compact USFF,"£1,072.63",Dell,-,Intel Core i7,-,-,-
Lenovo ThinkCentre neo 50q Mini i3 i3-1215U,£349.99,Lenovo,8 GB,Intel Core i3,Compact,-,-
Lenovo ThinkCentre M75s Gen 2 11R8002QUK,£446.87,Lenovo,8 GB,-,-,-,-
Intel NUC Kit BNUC11ATKC20002,£135.55,Intel,-,Intel Celeron,Barebone,-,2.33 %
Lenovo ThinkCentre M60q Chromebox Mini Core i3-1215U 128GB,£250.79,Lenovo,-,-,Compact,-,14.03 %
Dell OptiPlex 7010 i5-13500 Mini Tower,£541.63,Dell,8 GB,Intel Core i5,"Tower, Compact",-,-
Lenovo ThinkCentre M70a Gen 3 IntelÂ® Coreâ„¢,£564.00,Lenovo,8 GB,Intel Core i5,-,"https://www.pricerunner.com/product/40x40/3009442963/Lenovo-ThinkCentre-M70a-Gen-3-IntelA%C2%AE-Corea%E2%80%9E.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3009442963/Lenovo-ThinkCentre-M70a-Gen-3-IntelA%C2%AE-Corea%E2%80%9E.jpg?ph=true&fmt=avif 2x",0.61 %
Gigabyte BRIX GB-BACE-3160 (rev. 1.0),£136.66,Gigabyte,-,Intel Celeron,Compact,"https://www.pricerunner.com/product/40x40/3003981800/Gigabyte-BRIX-GB-BACE-3160-%28rev.-1.0%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3003981800/Gigabyte-BRIX-GB-BACE-3160-%28rev.-1.0%29.jpg?ph=true&fmt=avif 2x",5.41 %
