nomeDoProduto,preco,marca,memoriaRam,processador,tipoDeGabinete,imagem,promocao
-,£549.00,Lenovo,-,-,All-in-one,-,-
ASUS Chromebox 5 Mini 128GB,£549.95,ASUS,-,Intel Celeron,Compact,-,-
Acer veriton n vn4690gt intel core i5-12400t 8gb 256gb ssd,£550.31,Acer,8 GB,Intel Core i5,-,-,-
-,£554.51,HP,16 GB,Intel Core i5,Compact,-,-
Acer veriton x2 vx2690g intel core i5-12400 8gb 512gb ssd,£561.42,Acer,8 GB,Intel Core i5,-,-,-
Intel NUC 12 Pro Kit NUC12WSKi70Z,£569.48,Intel,-,Intel Core i7,Barebone,-,-
Intel NUC 13 Pro Kit Nettop Mini,£569.99,Intel,-,-,Barebone,-,-
-,£590.30,Lenovo,8 GB,-,Compact,-,-
Intel RNUC12WSHV70000 PC/workstation barebone,£596.99,Intel,-,-,Barebone,-,-
ASUS PN PN64 I5-12500H 8GB/256GB W11P,£621.98,ASUS,-,Intel Core i5,Compact,-,4.91 %
-,£622.49,Lenovo,-,Intel Core i5,Compact,-,5.82 %
-,£638.30,HP,8 GB,Intel Core i5,Tower,-,-
Acer Aspire C24-1700 23.8 Coreâ¢,£649.00,Acer,-,-,All-in-one,-,-
Dell OptiPlex 3000 (93RJ6),£649.99,Dell,8 GB,Intel Core i5,Tower,-,-
Acer Veriton VN4690GT Core i7-12700 25M,£699.97,Acer,16 GB,Intel Core i7,-,"https://www.pricerunner.com/product/40x40/3012639377/Acer-Veriton-VN4690GT-Core-i7-12700-25M.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3012639377/Acer-Veriton-VN4690GT-Core-i7-12700-25M.jpg?ph=true&fmt=avif 2x",-
-,£722.88,HP,-,-,-,-,9.43 %
-,£727.26,HP,-,Intel Core i5,Tower,-,-
HP Pro 400 G9 i5-13500 Core,£732.47,HP,8 GB,-,-,-,-
Lenovo ThinkSmart One IntelÂ® Coreâ¢ i5,£763.49,Lenovo,8 GB,-,Tower,-,-
Dell PowerEdge T150 2.8,£828.17,Dell,-,-,Tower,-,9.67 %
HP Pavilion 27-ca1001na,£849.00,HP,8 GB,Intel Core i5,All-in-one,-,-
Dell Precision 3650 (KXCD8),£886.00,Dell,16 GB,Intel Core i7,Tower,-,-
Apple Mac Mini (2020) Core i5 3.0GHz 8GB 512GB Intel UHD Graphics 630,£915.83,Apple,8 GB,Intel Core i5,Compact,-,-
Acer Predator Orion PO3-640 (‎DG.E2WEK.002),"£1,149.00",Acer,-,Intel Core i7,Tower,-,-
-,"£1,167.49",Lenovo,16 GB,-,Compact,-,-
Lenovo 90nc00a9uk Legion T5 I7-10700 Tower 10th,"£1,193.99",Lenovo,16 GB,Intel Core i7,Tower,-,-
-,"£1,209.99",Lenovo,16 GB,Intel Core i7,Tower,-,5.47 %
HP PC Z2 SFF G9,"£1,216.99",HP,16 GB,-,-,-,-
Lenovo ThinkStation P3 Ultra Tower Core,"£1,324.99",Lenovo,-,-,Tower,-,8.62 %
Acer Aspire S27-1755 Intel Core i7 512GB 1TB,"£1,342.63",Acer,"8 GB, 16 GB","Intel Core i5, Intel Core i7",-,-,-
Lenovo ThinkSmart Hub Teams,"£1,549.99",Lenovo,8 GB,-,All-in-one,-,.00 %
Dell PowerEdge R350 rack-mountable E-2336,"£2,120.75",Dell,16 GB,-,Tower,-,-
-,-,-,-,-,-,-,-
-,​,​,​,​,​,-,​
ASUS ROG G22CH-1370KF065W Intel Core i7 i7-13700KF,"£2,847.13",ASUS,-,-,-,-,-
Dell Fjvwr Poweredge R550 Server 480 Rack 2u,"£2,974.34",Dell,-,-,Tower,-,-
Dell V0ggg Poweredge R650xs Server 2.1,"£3,247.97",Dell,-,-,-,-,1.69 %
-,£200.81,MSI,-,-,Barebone,-,1.35 %
Gigabyte BRIX s GB-BRR3H-4300 (rev. 1.0),£230.13,Gigabyte,-,AMD Ryzen 3,Barebone,-,-
Dell Wyse 5070 (1MD31),£279.28,Dell,4 GB,Intel Celeron,Tower,-,-
ASUS mini pc pn51-s1 barebone pn51-s1-bb5278md ryzen,£289.99,ASUS,-,-,Compact,-,-
Lenovo ThinkCentre M70q Gen 2 11MY002PUK,£383.99,Lenovo,8 GB,Intel Core i3,Compact,-,-
-,£499.99,Zotac,-,Intel Core i5,Barebone,-,-
Lenovo V50t Gen 2-13IOB 11QE003XUK,£566.99,Lenovo,8 GB,Intel Core i7,Tower,-,-
Intel NUC 13 Pro Mini PC NUC13ANKi30WC i3-1315U,£580.99,Intel,-,-,Barebone,"https://www.pricerunner.com/product/40x40/3011631212/Intel-NUC-13-Pro-Mini-PC-NUC13ANKi30WC-i3-1315U.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3011631212/Intel-NUC-13-Pro-Mini-PC-NUC13ANKi30WC-i3-1315U.jpg?ph=true&fmt=avif 2x",-
Lenovo V50t Gen 2-13IOB 11QE0042UK,£602.99,Lenovo,8 GB,Intel Core i5,Tower,"https://www.pricerunner.com/product/40x40/3005928188/Lenovo-V50t-Gen-2-13IOB-11QE0042UK.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3005928188/Lenovo-V50t-Gen-2-13IOB-11QE0042UK.jpg?ph=true&fmt=avif 2x",-
Lenovo ThinkCentre M75s Gen 2 11R8000HUK,£684.99,Lenovo,16 GB,AMD Ryzen 7 Pro,Compact,-,-
Intel NUC 13 Pro Mini PC NUC13ANKi70QC,£850.99,Intel,-,-,Barebone,-,-
HP Z2 G9 i7-13700 mini,"£1,006.99",HP,16 GB,-,-,-,7.20 %
Dell Precision 3260 (81DD1),"£1,041.57",Dell,8 GB,Intel Core i5,Compact,-,0.86 %
MSI Cubi N JSL-028BUK Barebone,£167.91,MSI,4 GB,-,Barebone,-,-
Acer Veriton S2 VS2690G (DT.VWMEG.003),£512.08,Acer,8 GB,Intel Core i3,Tower,-,-
-,£548.99,HP,8 GB,Intel Core i5,-,-,-
LG 24CN670N-6N,£557.73,LG,4 GB,Intel Celeron,All-in-one,-,-
Acer Veriton M4 VM4690G (DT.VWSEG.001),£807.26,Acer,16 GB,Intel Core i5,Tower,-,-
HP Pro 400 G9 6A768EA,£872.68,HP,8 GB,Intel Core i5,Compact,-,-
Acer Veriton M6 VM6690G (DT.VWVEG.001),£882.75,Acer,16 GB,Intel Core i5,Tower,-,-
Acer Veriton M4 VM4690G (DT.VWSEG.002),£961.66,Acer,16 GB,Intel Core i7,Tower,-,-
-,£976.61,HP,16 GB,-,All-in-one,-,-
Acer Veriton M6 VM6680G (DT.VVHEG.00N),"£1,461.01",Acer,16 GB,Intel Core i5,Tower,-,-
Lenovo ThinkCentre M70q Gen 3 Tower,"£1,547.38",Lenovo,8 GB,"Intel Core i5, Intel Core i9","Tower, Compact",-,2.18 %
Lenovo ThinkStation P360 30FM001PUK,"£1,582.10",Lenovo,16 GB,Intel Core i7,Tower,-,-
HP Elite 800 G9 5V8J0EA,"£1,600.04",HP,16 GB,Intel Core i7,Compact,-,-
HP HP Pavilion 32-b0003ng,"£1,879.91",HP,32 GB,Intel Core i7,All-in-one,-,-
Fujitsu Celsius W5012 Minitower I9-12900K Pro,"£2,405.75",Fujitsu,32 GB,Intel Core i9,Tower,-,-
-,£909.16,Adonia,16 GB,Intel Core i5,Tower,-,-
"ASUS ExpertCenter PN42-BBN200MV, Mini-PC Barebone, Eingebauter",£270.19,ASUS,-,-,Barebone,-,10.97 %
-,£522.97,Lenovo,8 GB,Intel Core i5,-,-,0.10 %
-,£704.99,Intel,-,-,-,-,-
Lenovo IdeaCentre AIO 3 27 (F0FY001EUK),£760.74,Lenovo,8 GB,AMD Ryzen 5,All-in-one,"https://www.pricerunner.com/product/40x40/3003653873/Lenovo-IdeaCentre-AIO-3-27-%28F0FY001EUK%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3003653873/Lenovo-IdeaCentre-AIO-3-27-%28F0FY001EUK%29.jpg?ph=true&fmt=avif 2x",-
HP Pavilion 24-ca2001na,£999.99,HP,16 GB,Intel Core i5,All-in-one,-,-
CyberPowerPC Gaming Ultra Luxe 1080 (B01J4713A0),"£1,015.20",CyberPowerPC,-,-,-,-,-
HP EliteOne 870 G9 Wolf Pro Security,"£1,487.99",HP,16 GB,-,-,-,-
MSI MPG Infinite X2 RTX,"£2,299.00",MSI,16 GB,"Intel Core i5, Intel Core i7",-,-,-
Captiva Highend Gaming I71-399 i7-13700KF 32GB/1TB RTX 4080 Windows,"£3,200.84",Captiva,-,-,Tower,-,-
Desktop PC PcCom Custom RTX 4080 2,"£6,532.03",-,-,-,Tower,-,-
Lenovo Legion T5 26IAB7 2.5,£914.99,Lenovo,16 GB,Intel Core i5,Tower,-,-
HP Workstation Z2 G9 Tower,"£1,457.11",HP,32 GB,-,Tower,-,23.34 %
HP Elite 600 G9 6B217EA,"£1,014.80",HP,16 GB,Intel Core i7,Compact,-,0.41 %
MSI MAG Codex 5 11TG-820UK,"£1,368.94",MSI,16 GB,Intel Core i5,Tower,-,-
Lenovo Legion T5-28 90NC00ACUK,"£1,404.86",Lenovo,16 GB,Intel Core i5,Tower,-,2.54 %
Dell Alienware Aurora R10 Liquid Cooled,"£1,848.00",Dell,16 GB,-,-,-,-
Lenovo ThinkCentre M70s 11EX000TUK,£567.63,Lenovo,8 GB,Intel Core i5,Tower,-,-
-,£740.09,HP,16 GB,Intel Core i5,All-in-one,-,-
Viewsonic NMP760 PC/workstation DDR4-SDRAM 5205U mini,£406.82,Viewsonic,4 GB,Intel Celeron,Compact,-,-
Dell OptiPlex 3000 (6HKM9),£479.00,Dell,8 GB,Intel Core i3,Compact,-,-
ASUS PN52-BBR758HD,£539.45,ASUS,-,AMD Ryzen 7,Barebone,"https://www.pricerunner.com/product/40x40/3006608398/ASUS-PN52-BBR758HD.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006608398/ASUS-PN52-BBR758HD.jpg?ph=true&fmt=avif 2x",0.83 %
Dell EMC PowerEdge T150 4U Mini-tower Server,"£1,237.60",Dell,16 GB,-,Tower,"https://www.pricerunner.com/product/40x40/3006602532/Dell-EMC-PowerEdge-T150-4U-Mini-tower-Server.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006602532/Dell-EMC-PowerEdge-T150-4U-Mini-tower-Server.jpg?ph=true&fmt=avif 2x",-
Dell PowerEdge T350 tower Xeon,"£1,590.80",Dell,16 GB,-,Tower,-,-
Dell EMC PowerEdge R350 1U Rack Server,"£1,851.25",Dell,16 GB,-,Tower,-,-
Elitegroup Ecs Liva Q3 Plus,£185.75,Elitegroup,-,-,-,-,-
MSI Cubi N JSL-054UK,£211.39,MSI,4 GB,Intel Celeron,Compact,-,0.19 %
ASUS VivoMini PN41-BBC129MVS1,£224.67,ASUS,-,Intel Celeron,Compact,-,-
Intel NUC 11 Pro Kit NUC11TNHi3,£289.48,Intel,-,Intel Core i3,Barebone,-,-
Intel Sff Nuc11,£307.77,Intel,-,-,Barebone,-,8.21 %
-,£340.81,ASUS,4 GB,-,All-in-one,-,-
HP 290 G4 (123N1EA),£472.99,HP,8 GB,Intel Core i3,Tower,-,-
HP ProOne 400 G6 (64M24EA),£474.00,HP,8 GB,Intel Core i5,All-in-one,-,1.24 %
Lenovo ThinkCentre Neo 50t 11SE002UUK Desktop,£495.96,Lenovo,8 GB,Intel Core i9,Compact,-,-
HP 290 G4 (123N0EA),£539.28,HP,8 GB,Intel Core i5,Tower,-,-
Intel NUC Kit 11 Pro NUC11TNKv7,£546.24,Intel,-,Intel Core i7,Barebone,-,-
HP 290 G3 4M5H6EA,£553.99,HP,8 GB,Intel Core i5,Compact,-,-
Lenovo ThinkCentre M75s 11JB0026UK,£569.73,Lenovo,16 GB,AMD Ryzen 5 Pro,Tower,-,-
HP ProDesk 400 G6 47L90EA,£590.99,HP,8 GB,Intel Core i5,Compact,-,-
Dell OptiPlex 3000 (7G5JM),£606.75,Dell,8 GB,Intel Core i5,Compact,"https://www.pricerunner.com/product/40x40/3006390038/Dell-OptiPlex-3000-%287G5JM%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006390038/Dell-OptiPlex-3000-%287G5JM%29.jpg?ph=true&fmt=avif 2x",-
HP Pro Mini 400 6B242EA,£683.89,HP,16 GB,Intel Core i5,Compact,"https://www.pricerunner.com/product/40x40/3006602545/HP-Pro-Mini-400-6B242EA.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006602545/HP-Pro-Mini-400-6B242EA.jpg?ph=true&fmt=avif 2x",-
Dell OptiPlex 7010,£737.69,Dell,16 GB,-,Compact,-,0.58 %
HP EliteDesk 800 G6 4H699EA,£768.99,HP,8 GB,Intel Core i5,Tower,-,-
Acer DTVWREG003 VERITON X4690G I5-12400 4.4G-Core i5-8,£812.55,Acer,8 GB,Intel Core i5,-,-,-
Lenovo ThinkCentre M70a 11CK003AUK,£860.99,Lenovo,8 GB,Intel Core i5,All-in-one,-,-
HPE Proliant Ml30 Gen10 Plus Entry Xeon,£875.06,HPE,8 GB,-,Tower,-,0.03 %
-,£875.99,HP,-,-,-,-,-
HPE Proliant ML30 Gen10 Plus,£930.20,HPE,-,-,-,-,-
Lenovo ThinkCentre M70a 11CK003FUK,"£1,090.99",Lenovo,16 GB,Intel Core i7,All-in-one,-,-
Viewsonic VPC25-W53-O1-1B Single Board Computer Slot-in,"£1,128.84",Viewsonic,16 GB,Intel Core i5,-,-,-
Dell Precision 3660 (031KV),"£1,139.00",Dell,16 GB,Intel Core i7,Tower,-,5.00 %
Lenovo ThinkStation P3 Tower 30GS001SUK Core,"£1,161.71",Lenovo,32 GB,Intel Core i9,Tower,-,-
-,"£2,371.95",Lenovo,32 GB,Intel Core i5,-,-,-
-,"£2,599.00",MSI,16 GB,-,-,-,-
HPE ProLiant DL360 Gen11 P51930-421,"£2,899.97",-,-,-,-,-,-
HPE Hewlett Packard Enterprise HPE ProLiant DL380 Gen11 Choice,"£3,199.00",HPE,-,-,-,-,-
HP ProLiant ML350 server Tower Xeon Silver 4410Y 2,"£3,199.97",HP,-,-,Tower,-,-
Intel NUC7PJYHN (Black),£145.14,Intel,-,Intel Pentium Silver,Barebone,"https://www.pricerunner.com/product/40x40/3002334451/Intel-NUC7PJYHN-%28Black%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3002334451/Intel-NUC7PJYHN-%28Black%29.jpg?ph=true&fmt=avif 2x",-
ECS LIVA Z2 Pentium Barebone Compact Mini,£157.65,ECS,-,-,Barebone,"https://www.pricerunner.com/product/40x40/3012094275/ECS-LIVA-Z2-Pentium-Barebone-Compact-Mini.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3012094275/ECS-LIVA-Z2-Pentium-Barebone-Compact-Mini.jpg?ph=true&fmt=avif 2x",-
Intel nuc 10 core i3 10110u- barebone,£174.91,Intel,-,-,Barebone,-,-
-,£179.99,MSI,-,-,Compact,-,-
-,£182.79,-,-,-,Barebone,-,-
Intel NUC BNUC11ATKC20RA0,£192.99,Intel,-,Intel Celeron,-,-,-
ECS LIVA Z3 PLUS i3,£207.51,ECS,-,-,-,-,-
-,£213.70,-,-,-,Barebone,-,-
HP 600BMT (B5G83EA),£214.99,HP,-,Intel Pentium,Tower,-,-
MSI Barebone 936-B0A911-023,£224.70,MSI,-,-,Barebone,-,1.06 %
-,-,-,-,-,-,-,-
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
-,​,​,​,​,​,-,​
HP Pavilion 590-a0020na (4RT69EA),£247.99,HP,4 GB,Intel Celeron,Tower,-,-
Asrock Barb NUC BOX-1115G4,£248.49,Asrock,-,-,-,-,7.41 %
-,£253.53,-,-,-,Barebone,-,3.75 %
Intel NUC NUC11TNHi70L (Black),£290.17,Intel,-,Intel Core i7,Barebone,-,-
Gigabyte Brix GB-BRi3-10110 (Black),£304.49,Gigabyte,-,Intel Core i3,Barebone,-,-
HP t430 cel n4020/4gb ram/32gb ssd/wlan/thinpro wlan/bt w1,£313.99,HP,4 GB,Intel Celeron,Compact,-,-
Dell Wyse 5470 (45RT4),£314.00,Dell,4 GB,Intel Celeron,All-in-one,-,-
Intel Sff Nuc11,£315.61,Intel,-,-,"Barebone, Compact",-,-
MSI Cubi 5 12M-025BEU,£315.68,MSI,-,-,Compact,-,-
HP t640 - sff ryzen embedded,£318.44,HP,-,-,-,-,-
Intel NUC 13 Pro Kit NUC13ANHi3 UCFF Mini barebone,£321.37,Intel,-,-,Barebone,-,-
HP Desktop pc Slim Desktop,£321.69,HP,8 GB,-,-,-,-
Iggual Desktop PC PSIPCH512 i3-10100 8,£322.65,Iggual,8 GB,Intel Core i3,Compact,-,-
Intel NUC 13 Pro Kit NUC13ANKi3,£324.99,Intel,-,-,Barebone,-,-
Iggual Desktop PC PSIPCH601 i3-10100 8,£332.87,Iggual,-,Intel Core i3,All-in-one,-,-
Gigabyte GB-BER3H-5300 (rev. 1.0),£337.94,Gigabyte,-,AMD Ryzen 3,Barebone,-,1.54 %
Barebone Alurin Unit i3 i3-10110U,£339.37,-,-,-,Barebone,"https://www.pricerunner.com/product/40x40/3011582659/Barebone-Alurin-Unit-i3-i3-10110U.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3011582659/Barebone-Alurin-Unit-i3-i3-10110U.jpg?ph=true&fmt=avif 2x",-
-,£347.56,-,8 GB,-,Compact,-,-
Lenovo ThinkCentre M630e 10YM0028UK,£359.82,Lenovo,4 GB,Intel Core i3,Compact,-,13.89 %
-,£363.70,ASUS,-,-,Compact,-,-
-,£368.99,HP,-,-,Tower,-,-
Intel NUC Mini PC BNUC11TNKI50Z02,£369.91,Intel,-,Intel Core i5,Barebone,-,-
MSI All in Pro 16T 10M-079XEU 256,£373.35,MSI,4 GB,-,-,-,-
Intel NUC 11 Pro UCFF Black,£373.99,Intel,-,Intel Core i5,-,-,-
Intel NUC 10 Performance kit NUC10i7FNKN,£377.62,Intel,-,Intel Core i7,Barebone,-,-
Intel NUC 11 Pro UCFF Mini barebone DDR4-SDRAM M.2,£377.71,Intel,-,-,Barebone,-,7.74 %
Iggual Desktop PC PSIPCH603 i5-10400 8,£383.82,Iggual,-,Intel Core i5,-,-,-
Iggual Desktop PSIPCH513 i5-10400 8GB 480SSD,£388.54,Iggual,8 GB,Intel Core i5,-,-,-
HP t740 thin client,£391.96,HP,-,-,-,-,1.89 %
Intel RNUC11PAHI70Z02 PANTHER CANYON NUC11PAHI70Z02,£392.30,Intel,-,-,Barebone,-,-
Zotac ZBOX CI629 NANO Barebone i3,£399.98,Zotac,-,Intel Core i5,"Barebone, Compact",-,-
Iggual Desktop PC PSIPCH803 256,£400.49,Iggual,-,-,-,-,-
HP Elite t655 2.1,£407.99,HP,-,AMD Ryzen 5,-,-,-
HP Desktop PC S01-AF2003NS 256,£415.48,HP,4 GB,-,-,-,-
-,£419.64,-,-,Intel Core i5,Barebone,-,-
Acer Aspire TC-1760 (DT.BHUEK.008),£419.99,Acer,8 GB,Intel Core i3,Tower,"https://www.pricerunner.com/product/40x40/3006771611/Acer-Aspire-TC-1760-%28DT.BHUEK.008%29.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3006771611/Acer-Aspire-TC-1760-%28DT.BHUEK.008%29.jpg?ph=true&fmt=avif 2x",-
Gigabyte Brix GB-BRR7-4800,£420.86,Gigabyte,-,AMD Ryzen 7,Compact,-,0.43 %
ASUS Desktop PC ExpertCenter D5 8,£425.13,ASUS,8 GB,Intel Core i3,-,-,-
-,£429.00,MSI,-,-,Barebone,-,-
-,£429.98,MSI,-,-,-,-,-
Intel NUC 13 Pro Kit Nettop Mini,£430.50,Intel,-,-,Barebone,-,-
-,£430.80,HP,8 GB,Intel Core i5,Compact,-,-
Intel NUC 12 Pro Kit NUC12WSKv5,£437.10,Intel,-,Intel Core i5,Barebone,-,-
HP prodesk 400 g5 sff core i3-8100 500gb,£450.99,HP,8 GB,-,Compact,-,-
Intel NUC 13 Pro Kit Nettop Mini,£450.99,Intel,-,-,Barebone,-,-
Dell Vostro 3681 (80NJJ),£454.69,Dell,8 GB,Intel Core i3,Tower,-,-
-,£455.00,Acer,8 GB,-,-,-,-
-,£460.94,-,-,-,-,-,-
Dell Wyse 5070 DTS Pentium,£462.44,Dell,-,-,-,-,-
Iggual Desktop PC PSIPCH804 I5-12400 500,£463.01,Iggual,-,-,-,-,-
Gigabyte Barebone BRIX PRO Kit,£478.16,Gigabyte,-,Intel Core i5,Barebone,-,-
-,£479.00,Acer,8 GB,-,Tower,-,-
HP Desktop PC S01-aF0053ns 256,£484.95,HP,8 GB,-,-,-,-
HP ProDesk 400 G6 47L89EA,£485.97,HP,8 GB,Intel Core i3,Compact,-,-
Acer veriton s2 vs2690g mid tower core,£498.23,Acer,-,Intel Core i5,Tower,-,-
ASUS PN PN64 I3-1220P 8GB/256GB W11P,£498.95,ASUS,8 GB,-,Compact,-,10.00 %
ASUS Pn50-bbr050md-e1 Pn50-bbr050md Sff,£499.99,ASUS,-,-,-,-,-
Intel Rnuc12wski50002 Street Nuc12wski5 Eu,£500.53,Intel,-,-,-,-,-
Intel NUC RNUC11BTMI70000 8L sized,£504.26,Intel,-,-,Barebone,-,-
Dell OptiPlex 3000 (D1426),£505.42,Dell,8 GB,Intel Core i3,Compact,-,-
HP EliteDesk 800 G3 (1ND34EA),£516.99,HP,4 GB,Intel Core i5,Tower,-,-
Lenovo IdeaCentre AIO 3 24ALC6,£519.69,Lenovo,-,-,All-in-one,-,-
ASUS Mini Pc Pn52,£521.16,ASUS,-,-,Compact,-,-
Dell OptiPlex 7000 (8CF2G),£531.75,Dell,-,Intel Core i5,Compact,-,7.14 %
Dell OptiPlex 3000 (C30RM),£537.05,Dell,8 GB,Intel Core i5,Compact,-,-
Lenovo V530s-07 (11BM001MUK),£537.78,Lenovo,8 GB,Intel Core i3,Tower,-,-
Intel NUC 11 Pro Kit NUC11TNHv7,£540.54,Intel,-,Intel Core i7,Barebone,-,-
Lenovo ThinkCentre M75s 11JB002BUK,£541.22,Lenovo,8 GB,AMD Ryzen 5 Pro,Tower,-,-
Intel BNUC11TNKV70000 Next Unit of Computing Kit,£542.99,Intel,-,-,Barebone,-,-
Fujitsu ESPRIMO P6012 i5 12500 8GB 256GB W11P,£547.02,Fujitsu,8 GB,Intel Core i5,-,-,-
HP Pavilion 24-ca0016na,£551.82,HP,8 GB,AMD Ryzen 7,All-in-one,"https://www.pricerunner.com/product/40x40/3008170741/HP-Pavilion-24-ca0016na.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3008170741/HP-Pavilion-24-ca0016na.jpg?ph=true&fmt=avif 2x",-
CAPTURE Swordfish POS J1900/4GB RAM/ 64GB,£553.99,-,-,-,-,"https://www.pricerunner.com/product/40x40/3007329021/CAPTURE-Swordfish-POS-J1900-4GB-RAM-64GB.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3007329021/CAPTURE-Swordfish-POS-J1900-4GB-RAM-64GB.jpg?ph=true&fmt=avif 2x",-
ASUS PN PN52 R5-5600H 8GB/256GB,£559.96,ASUS,-,-,-,-,-
HP elite 7500 core i7-3770 4gb ram 1tb,£559.99,HP,-,-,-,-,-
Intel Next Unit of Computing 13 Pro Kit NUC13ANHi7,£569.99,Intel,-,Intel Core i7,Barebone,-,-
Lenovo ThinkCentre M60e 11LV004BUK,£571.87,Lenovo,8 GB,Intel Core i5,Compact,-,-
Intel Core i5 Arena Canyon NUC 13 Slim,£574.99,Intel,-,Intel Core i5,Barebone,-,15.07 %
Dell Precision 3240 (TFVPF),£582.47,Dell,32 GB,Intel Xeon W,Tower,-,8.98 %
Dell OptiPlex 5090 (6CTWR),£583.81,Dell,8 GB,Intel Core i5,Compact,-,-
Gigabyte GB-BRi7H-10710 (rev. 1.0),£586.27,Gigabyte,-,Intel Core i7,Barebone,-,-
ASUS PN PN52 R7-5800H 16GB/512GB,£598.48,ASUS,-,-,-,-,-
HP Victus TG02-0036na Tower NVIDIA GeForce GTX,£599.00,HP,-,Intel Core i5,Tower,-,14.31 %
Capture Swordfish Kasseterminal POS 128GB,£607.99,-,-,Intel Celeron,-,-,-
"Lenovo ThinkSmart Hub 25.6 10.1"" Full HD",£612.00,Lenovo,-,-,-,-,-
ASUS ExpertCenter E5 AiO 22 E5202WHAK-BA144W,£619.73,ASUS,8 GB,-,All-in-one,-,-
-,£623.99,HP,16 GB,Intel Core i5,Tower,-,-
HP Elite Mini 600 G9,£624.99,HP,8 GB,Intel Core i5,Compact,-,-
Intel NUC RNUC11BTMI90000 PC/workstation barebone 8L sized PC,£633.46,Intel,-,Intel Core i7,Barebone,-,-
ASUS ExpertCenter D500SCES-511400012X i5-11400 SFF Core™,£638.18,ASUS,8 GB,Intel Core i5,-,-,-
Lenovo ThinkCentre M90q Gen 3 11U5000GUK,£640.18,Lenovo,8 GB,Intel Core i5,Compact,-,-
HP PC M01-F2052ns 16,£641.10,HP,16 GB,-,-,-,-
Lenovo P3 Mini PC Core i5 i5-13400T,£651.70,Lenovo,-,-,Compact,-,-
Acer Aspire C24-963 (DQ.BEQEB.004),£653.04,Acer,8 GB,Intel Core i3,All-in-one,-,-
Acer Aspire C24-1650 (DQ.BFSEK.007),£657.59,Acer,8 GB,Intel Core i5,All-in-one,-,-
ASUS ExpertCenter D500SCES-511400020X i5-11400 SFF,£670.32,ASUS,8 GB,-,-,"https://www.pricerunner.com/product/40x40/3009928481/ASUS-ExpertCenter-D500SCES-511400020X-i5-11400-SFF.jpg?ph=true&fmt=avif 1x, https://www.pricerunner.com/product/80x80/3009928481/ASUS-ExpertCenter-D500SCES-511400020X-i5-11400-SFF.jpg?ph=true&fmt=avif 2x",-
-,£673.92,Lenovo,16 GB,-,Compact,-,-
HP ProDesk 600 G6 1D2P8EA,£686.99,HP,8 GB,Intel Core i5,Tower,-,-
Dell OptiPlex 5090 (1RD2Y),£695.26,Dell,8 GB,Intel Core i5,Tower,-,-
Dell OptiPlex 7000 (YH22V),£705.53,Dell,8 GB,Intel Core i5,Compact,-,-
ASUS ExpertCenter E5 AiO,£730.16,ASUS,8 GB,"Intel Core i3, Intel Core i5",All-in-one,-,-
Lenovo Lenovo IdeaCentre 5 14 90RJ004BUK,£730.40,Lenovo,16 GB,Intel Core i7,Tower,-,-
Lenovo ThinkCentre M70s 11EX000SUK,£731.22,Lenovo,16 GB,Intel Core i5,Tower,-,-
Dell Mini PC OptiPlex 7010 I5-13500T,£745.65,Dell,-,-,Compact,-,-
Lenovo V30a (11LA000PUK),£746.99,Lenovo,8 GB,Intel Core i5,All-in-one,-,-
Lenovo ThinkCentre M90a 11CD007AUK,£749.99,Lenovo,8 GB,Intel Core i5,All-in-one,-,20.45 %
Fujitsu ESPRIMO D6012 Core,£755.01,Fujitsu,16 GB,-,-,-,-
Lenovo ThinkCentre Neo 50s 11T0003GUK,£764.99,Lenovo,16 GB,Intel Core i5,Tower,-,-
HP EliteDesk 805 G6 125N1ET,£773.94,HP,8 GB,AMD Ryzen 5 Pro,Compact,-,-
Acer Veriton Z2594G All-in-One,£777.08,Acer,-,Intel Core i5,All-in-one,-,-
-,£778.86,ASUS,-,-,Compact,-,0.04 %
Dell 0wrf4 Optiplex 5000 Ddr4-sdram I5-12500 Sff,£779.09,Dell,16 GB,Intel Core i5,Compact,-,-
"ASUS A5401WRAK i5-10500T 23"" 8GB",£781.95,ASUS,8 GB,Intel Core i5,"All-in-one, Compact",-,-
